ID,Location,City,Job_Title,Job_Role,Involvement,Level,Applicants,Company,Industry,Employee_Size,Followers
J1,"Pune, Maharashtra, India",Pune,F&A Senior Admin Assistant,Assistant,Full-time,Mid-Senior level,55,UPS,Transportation/Trucking/Railroad ,10000+,1614205.00
J2,"Gurgaon, Haryana, India",Gurgaon,Content Writing Internship in Gurgaon at Internshala,Intern,Full-time,Internship,13,Internshala,Education Management ,51 to 100,1103111.00
J3,"Kakori, Uttar Pradesh, India",Kakori,CarDekho - Territory Head,Territory Head,Full-time,Director,80,CarDekho,Internet ,1001 to 5000,87558.00
J4,"Noida, Uttar Pradesh, India",Noida,Management Trainee - Banking Analyst,Analyst,Full-time,Associate,200,HCLTech,Information Technology & Services ,10000+,4310955.00
J5,"Hyderabad, Telangana, India",Hyderabad,Personal Secretary,Secretary,Full-time,Entry level,36,Gamut HR Solutions,Human Resources ,101 to 200,665.00
J6,"Delhi, Delhi, India",Delhi,Fraud Analyst,Analyst,Full-time,Associate,23,Barclays,Financial Services ,10000+,1306895.00
J7,"Pune, Maharashtra, India",Pune,Financial Analyst,Analyst,Full-time,Not given,200,UBS,Financial Services ,10000+,1252029.00
J8,"Pune, Maharashtra, India",Pune,Financial Analyst,Analyst,Full-time,Not given,200,UBS,Financial Services ,10000+,1252029.00
J9,"Gurgaon, Haryana, India",Gurgaon,Consultant - Communication Training,Trainer,Full-time,Mid-Senior level,45,IndiGo (InterGlobe Aviation Ltd),Airlines/Aviation ,10000+,392177.00
J10,"Ahmedabad, Gujarat, India",Ahmedabad,Store keeper,Store keeper,Full-time,Entry level,200,Jet Airways,Airlines/Aviation ,10000+,288983.00
J11,"Mumbai, Maharashtra, India",Mumbai,EV Area Sales Manager,Manager,Full-time,Mid-Senior level,17,Mahindra Group,Executive Office ,10000+,1071139.00
J12,"Chennai, Tamil Nadu, India",Chennai,Associate Graduate,Associate,Full-time,Entry level,200,NTT Ltd.,Information Technology & Services ,10000+,367030.00
J13,"Hyderabad, Telangana, India",Hyderabad,Key Account Manager I,Accountant,Full-time,Mid-Senior level,145,Swiggy,Computer Software ,1001 to 5000,1212772.00
J14,"Pune, Maharashtra, India",Pune,Senior Accountant,Accountant,Full-time,Mid-Senior level,146,Mastercard,Information Technology & Services ,10000+,1149262.00
J15,"Gurgaon, Haryana, India",Gurgaon,Data Analytics,Analyst,Full-time,Mid-Senior level,200,WNS,Outsourcing/Offshoring ,10000+,555044.00
J16,"Kakori, Uttar Pradesh, India",Kakori,Virtual Customer Service Associate - Lucknow,Associate,Full-time,Entry level,11,Qween Network LLP,Human Resources ,11 to 50,39368.00
J17,"Delhi, Delhi, India",Delhi,"Regional Manager, South Asia",Manager,Full-time,Director,200,Taylor Hopkinson | Powered by Brunel,Staffing & Recruiting ,51 to 100,164850.00
J18,"Ahmedabad, Gujarat, India",Ahmedabad,Medkart - Head - Retail Operations,Head,Full-time,Director,16,Medkart Pharmacy,Retail ,201 to 500,4800.00
J19,"Bengaluru, Karnataka, India",Bengaluru,Associate-Human Resource Admin,Associate,Full-time,Not given,200,Tesco Bengaluru,Retail ,5001 to 10000,205552.00
J20,"Pune, Maharashtra, India",Pune,Financial Analyst,Analyst,Full-time,Not given,200,UBS,Financial Services ,10000+,1252029.00
J21,"Delhi, Delhi, India",Delhi,Regional Logistics & Accounts Manager,Accountant,Full-time,Mid-Senior level,200,Pidilite Industries Limited,Consumer Goods ,1001 to 5000,413714.00
J22,"Mumbai, Maharashtra, India",Mumbai,Executive Microbiology,Executive,Full-time,Executive,24,Galentic Pharma (India) Pvt. Ltd.,Pharmaceuticals ,201 to 500,7459.00
J23,"Hyderabad, Telangana, India",Hyderabad,Analyst - Data Analysis & reporting,Analyst,Full-time,Not given,200,Deloitte,Management Consulting ,10000+,11242133.00
J24,"Gurgaon, Haryana, India",Gurgaon,HR Manager,Human-resourse,Full-time,Mid-Senior level,200,Crocs,Consumer Goods ,1001 to 5000,61755.00
J25,Greater Delhi Area,Delhi,RKA Supervisor,Supervisor,Full-time,Mid-Senior level,38,Dyson,Electrical & Electronic Manufacturing ,10000+,320902.00
J26,"Gurgaon, Haryana, India",Gurgaon,Business Analyst,Analyst,Full-time,Mid-Senior level,200,Airbnb,Computer Software ,5001 to 10000,2219932.00
J27,"Ahmedabad, Gujarat, India",Ahmedabad,Hiring For Civil Site Engineer,Engineer,Full-time,Entry level,130,Mspire HR Solutions (Unit of Mspire Ventures Private Limited),Staffing & Recruiting ,11 to 50,3242.00
J28,"Bengaluru, Karnataka, India",Bengaluru,Human Resources Generalist,Generalist,Full-time,Mid-Senior level,60,NAVIS Human Resources,Human Resources ,51 to 100,3713.00
J29,"Pune, Maharashtra, India",Pune,HTML Developer,Developer,Full-time,Associate,130,WhiteSnow Software,Information Technology & Services ,51 to 100,2843.00
J30,"Hyderabad, Telangana, India",Hyderabad,Staff Accountant,Accountant,Full-time,Entry level,200,KPMG India,Management Consulting ,10000+,1401090.00
J31,"Delhi, Delhi, India",Delhi,Senior Associate,Associate,Full-time,Mid-Senior level,192,PwC India,Management Consulting ,5001 to 10000,914515.00
J32,"Viratnagar, Rajasthan, India",Viratnagar,MedSurg Registered Nurse,Nurse,Full-time,Mid-Senior level,10,Spectrum Healthcare Resources,Hospital & Health Care ,1001 to 5000,3426.00
J33,"Pune, Maharashtra, India",Pune,Intern,Intern,Full-time,Internship,27,Cerence Inc.,Computer Software ,1001 to 5000,27194.00
J34,"Noida, Uttar Pradesh, India",Noida,Customer Service Representative,Customer Support,Full-time,Not given,200,Wipro,Information Technology & Services ,10000+,6414174.00
J35,"Noida, Uttar Pradesh, India",Noida,Digital Marketing,Marketing,Full-time,Entry level,45,Network18 Media & Investments Limited,Media Production ,5001 to 10000,202485.00
J36,"Pune, Maharashtra, India",Pune,Registered Nurse - RN,Nurse,Full-time,Mid-Senior level,10,Genesis Healthcare,"Health, Wellness & Fitness ",101 to 200,78.00
J37,"Gurgaon, Haryana, India",Gurgaon,Buyer,Buyer,Full-time,Mid-Senior level,43,Maruti Suzuki India Limited,Automotive ,10000+,633905.00
J38,"Chennai, Tamil Nadu, India",Chennai,Copywriter,Copywriter,Full-time,Entry level,16,VPlayed,Computer Software ,201 to 500,1910.00
J39,"Chennai, Tamil Nadu, India",Chennai,Plant Head- operations,Head,Full-time,Mid-Senior level,29,T & A Solutions,Human Resources ,101 to 200,16585.00
