jobid,location,job_title,Job_type,involvement,level,total_applicants,company,industry,employees,followers
J1,"Pune, Maharashtra, India",F&A Senior Admin Assistant,others,Full-time,Mid-Senior level,55,UPS,Transportation/Trucking/Railroad ,10001,1614205
J2,"Gurgaon, Haryana, India",Content Writing Internship in Gurgaon at Internshala,others,Full-time,Internship,13,Internshala,Education Management ,51,1103111
J3,"Kakori, Uttar Pradesh, India",CarDekho - Territory Head,others,Full-time,Director,80,CarDekho,Internet ,1001,87558
J4,"Noida, Uttar Pradesh, India",Management Trainee - Banking Analyst,Analyst,Full-time,Associate,200,HCLTech,Information Technology & Services ,10001,4310955
J5,"Hyderabad, Telangana, India",Personal Secretary,others,Full-time,Entry level,36,Gamut HR Solutions,Human Resources ,2,665
J6,"Delhi, Delhi, India",Fraud Analyst,Analyst,Full-time,Associate,23,Barclays,Financial Services ,10001,1306895
J7,"Pune, Maharashtra, India",Financial Analyst,Analyst,Full-time,Not given,200,UBS,Financial Services ,10001,1252029
J8,"Pune, Maharashtra, India",Financial Analyst,Analyst,Full-time,Not given,200,UBS,Financial Services ,10001,1252029
J10,"Gurgaon, Haryana, India",Consultant - Communication Training,others,Full-time,Mid-Senior level,45,IndiGo (InterGlobe Aviation Ltd),Airlines/Aviation ,10001,392177
J11,"Ahmedabad, Gujarat, India",Store keeper,others,Full-time,Entry level,200,Jet Airways,Airlines/Aviation ,10001,288983
J12,"Mumbai, Maharashtra, India",EV Area Sales Manager,sales,Full-time,Mid-Senior level,17,Mahindra Group,Executive Office ,10001,1071139
J13,"Chennai, Tamil Nadu, India",Associate Graduate,Associate,Full-time,Entry level,200,NTT Ltd.,Information Technology & Services ,10001,367030
J14,"Hyderabad, Telangana, India",Key Account Manager I,Accountant,Full-time,Mid-Senior level,145,Swiggy,Computer Software ,1001,1212772
J15,"Pune, Maharashtra, India",Senior Accountant,Accountant,Full-time,Mid-Senior level,146,Mastercard,Information Technology & Services ,10001,1149262
J16,"Gurgaon, Haryana, India",Data Analytics,others,Full-time,Mid-Senior level,200,WNS,Outsourcing/Offshoring ,10001,555044
J17,"Kakori, Uttar Pradesh, India",Virtual Customer Service Associate - Lucknow,Associate,Full-time,Entry level,11,Qween Network LLP,Human Resources ,11,39368
J18,"Delhi, Delhi, India","Regional Manager, South Asia",Manager,Full-time,Director,200,Taylor Hopkinson | Powered by Brunel,Staffing & Recruiting ,51,164850
J19,"Ahmedabad, Gujarat, India",Medkart - Head - Retail Operations,others,Full-time,Director,16,Medkart Pharmacy,Retail ,201,4800
