jobid,job_title,Job_type,location,involvement,level,total_applicants,company,industry,employees,followers
J1,F&A Senior Admin Assistant,others,"Pune, Maharashtra, India",Full-time,Mid-Senior level,55 applicants,UPS,Transportation/Trucking/Railroad ,"10,001+ employees","1,614,205 followers"
J2,Content Writing Internship in Gurgaon at Internshala,others,"Gurgaon, Haryana, India",Full-time,Internship,13 applicants,Internshala,Education Management ,51-200 employees,"1,103,111 followers"
J3,CarDekho - Territory Head,others,"Kakori, Uttar Pradesh, India",Full-time,Director,80 applicants,CarDekho,Internet ,"1,001-5,000 employees","87,558 followers"
J4,Management Trainee - Banking Analyst,Analyst,"Noida, Uttar Pradesh, India",Full-time,Associate,Over 200 applicants,HCLTech,Information Technology & Services ,"10,001+ employees","4,310,955 followers"
J5,Personal Secretary,others,"Hyderabad, Telangana, India",Full-time,Entry level,36 applicants,Gamut HR Solutions,Human Resources ,2-10 employees,665 followers
J6,Fraud Analyst,Analyst,"Delhi, Delhi, India",Full-time,Associate,23 applicants,Barclays,Financial Services ,"10,001+ employees","1,306,895 followers"
J7,Financial Analyst,Analyst,"Pune, Maharashtra, India",Full-time,NULL,Over 200 applicants,UBS,Financial Services ,"10,001+ employees","1,252,029 followers"
J8,Financial Analyst,Analyst,"Pune, Maharashtra, India",Full-time,NULL,Over 200 applicants,UBS,Financial Services ,"10,001+ employees","1,252,029 followers"
J10,Consultant - Communication Training,others,"Gurgaon, Haryana, India",Full-time,Mid-Senior level,45 applicants,IndiGo (InterGlobe Aviation Ltd),Airlines/Aviation ,"10,001+ employees","392,177 followers"
J11,Store keeper,others,"Ahmedabad, Gujarat, India",Full-time,Entry level,Over 200 applicants,Jet Airways,Airlines/Aviation ,"10,001+ employees","288,983 followers"
J12,EV Area Sales Manager,sales,"Mumbai, Maharashtra, India",Full-time,Mid-Senior level,17 applicants,Mahindra Group,Executive Office ,"10,001+ employees","1,071,139 followers"
J13,Associate Graduate,Associate,"Chennai, Tamil Nadu, India",Full-time,Entry level,Over 200 applicants,NTT Ltd.,Information Technology & Services ,"10,001+ employees","367,030 followers"
J14,Key Account Manager I,Accountant,"Hyderabad, Telangana, India",Full-time,Mid-Senior level,145 applicants,Swiggy,Computer Software ,"1,001-5,000 employees","1,212,772 followers"
J15,Senior Accountant,Accountant,"Pune, Maharashtra, India",Full-time,Mid-Senior level,146 applicants,Mastercard,Information Technology & Services ,"10,001+ employees","1,149,262 followers"
J16,Data Analytics,others,"Gurgaon, Haryana, India",Full-time,Mid-Senior level,Over 200 applicants,WNS,Outsourcing/Offshoring ,"10,001+ employees","555,044 followers"
J17,Virtual Customer Service Associate - Lucknow,Associate,"Kakori, Uttar Pradesh, India",Full-time,Entry level,11 applicants,Qween Network LLP,Human Resources ,11-50 employees,"39,368 followers"
J18,"Regional Manager, South Asia",Manager,"Delhi, Delhi, India",Full-time,Director,Over 200 applicants,Taylor Hopkinson | Powered by Brunel,Staffing & Recruiting ,51-200 employees,"164,850 followers"
J19,Medkart - Head - Retail Operations,others,"Ahmedabad, Gujarat, India",Full-time,Director,16 applicants,Medkart Pharmacy,Retail ,201-500 employees,"4,800 followers"
J20,Associate-Human Resource Admin,Associate,"Bengaluru, Karnataka, India",Full-time,NULL,Over 200 applicants,Tesco Bengaluru,Retail ,"5,001-10,000 employees","205,552 followers"
J21,Financial Analyst,Analyst,"Pune, Maharashtra, India",Full-time,NULL,Over 200 applicants,UBS,Financial Services ,"10,001+ employees","1,252,029 followers"
